complaint_id,category,complaint_text,area,date_reported,priority,status
22,Water Supply,No water supply in Edamalaipatti Pudur Market Street for the past 2 days.,Edamalaipatti Pudur,2026-03-13,High,Pending
23,Drainage,Drainage cleaning has not been done in Cantonment Lake Road for months.,Cantonment,2025-02-14,Medium,In Progress
24,Drainage,Sewage water has entered houses in Melapudur 2nd Street after the rain.,Melapudur,2025-06-25,High,Resolved
25,Drainage,Open drain near Ponmalai school is a safety hazard for children.,Ponmalai,2025-07-18,Medium,Resolved
26,Street Light,Multiple street lights along Thillai Nagar Main Road are non-functional after the storm.,Thillai Nagar,2026-03-10,Medium,Resolved
27,Water Supply,Pipeline leakage near Palpannai Main Road is wasting a large amount of water daily.,Palpannai,2026-02-22,Low,Pending
28,Drainage,Sewage water has entered houses in Gandhi Nagar 2nd Street after the rain.,Gandhi Nagar,2026-03-25,Low,Pending
29,Road Damage,Uneven road surface on Cantonment Bypass Road makes it difficult for vehicles to pass.,Cantonment,2026-04-07,High,Pending
30,Street Light,Multiple street lights along Ariyamangalam Main Road are non-functional after the storm.,Ariyamangalam,2026-05-07,Low,Resolved
31,Electricity,Exposed electrical wires near Ariyamangalam Colony Road are a serious safety hazard.,Ariyamangalam,2025-03-05,Low,Resolved
32,Road Damage,"Speed breaker on Kattur 2nd Street is broken and unmarked, risky at night.",Kattur,2026-01-28,Medium,Pending
33,Drainage,Foul smell from the drainage line near Thillai Nagar market is unbearable.,Thillai Nagar,2026-06-27,Medium,In Progress
34,Garbage,"Dead animal lying near the garbage dump in Palpannai Cross Street, needs urgent removal.",Palpannai,2026-01-23,Low,Resolved
35,Road Damage,Uneven road surface on Ariyamangalam 2nd Street makes it difficult for vehicles to pass.,Ariyamangalam,2025-11-26,Low,Resolved
36,Drainage,Choked stormwater drain in Gandhi Nagar Bypass Road floods during light rain.,Gandhi Nagar,2025-06-25,High,In Progress
37,Drainage,Drainage cleaning has not been done in Ariyamangalam Market Street for months.,Ariyamangalam,2025-01-27,High,Resolved
38,Garbage,No garbage collection has happened in Gandhi Nagar since last Monday.,Gandhi Nagar,2025-09-29,Medium,In Progress
39,Electricity,Overhead electric line is sagging dangerously low on Cantonment Cross Street.,Cantonment,2025-11-15,High,Resolved
40,Street Light,Newly installed street light in Puthur Bypass Road is not switching on.,Puthur,2025-06-08,Medium,Pending
41,Road Damage,"Road repair work in Melapudur was left incomplete, causing traffic issues.",Melapudur,2026-03-15,Low,Resolved
42,Garbage,Public dustbin at Golden Rock junction is broken and waste is scattered on the road.,Golden Rock,2025-04-28,High,Resolved
43,Electricity,Frequent power cuts in Thiruverumbur 3rd Street for the past week without prior notice.,Thiruverumbur,2025-01-31,Medium,Pending
44,Water Supply,"Water supply valve in Thillai Nagar is broken, entire street has no water.",Thillai Nagar,2026-03-19,High,In Progress
45,Water Supply,"Irregular water supply timing in Vayalur Road, water comes only for 10 minutes.",Vayalur Road,2025-09-19,Medium,Pending
46,Drainage,Broken underground drainage pipe in Srirangam is leaking onto the street.,Srirangam,2025-03-27,Low,In Progress
47,Road Damage,Waterlogged potholes on Palpannai Cross Street are damaging vehicle tyres.,Palpannai,2025-04-27,Medium,Resolved
48,Electricity,Electric pole near Thiruverumbur is leaning dangerously and needs urgent repair.,Thiruverumbur,2025-01-12,Medium,Pending
49,Water Supply,"Water supply valve in Puthur is broken, entire street has no water.",Puthur,2025-04-06,Medium,Pending
50,Water Supply,Water tanker has not arrived in Bharathi Nagar despite booking three days ago.,Bharathi Nagar,2025-10-30,High,In Progress
51,Water Supply,Water tanker has not arrived in Puthur despite booking three days ago.,Puthur,2026-04-16,Medium,Resolved
52,Road Damage,Newly laid road in Cantonment is already cracking within a few months.,Cantonment,2025-11-30,Low,In Progress
53,Garbage,Construction debris dumped illegally on Gandhi Nagar Colony Road is blocking the footpath.,Gandhi Nagar,2026-01-20,Medium,Resolved
54,Garbage,Overflowing garbage bin near Thillai Nagar 2nd Street is attracting stray dogs and flies.,Thillai Nagar,2025-02-06,Medium,Resolved
55,Street Light,Street light near Anna Nagar bus stop flickers constantly at night.,Anna Nagar,2025-08-26,High,Resolved
56,Road Damage,Uneven road surface on Bharathi Nagar Bypass Road makes it difficult for vehicles to pass.,Bharathi Nagar,2025-10-26,High,Resolved
57,Drainage,Foul smell from the drainage line near Cantonment market is unbearable.,Cantonment,2025-03-06,High,In Progress
58,Road Damage,Road near Gandhi Nagar junction has completely eroded after recent rains.,Gandhi Nagar,2026-04-01,Medium,In Progress
59,Road Damage,Newly laid road in Palpannai is already cracking within a few months.,Palpannai,2026-04-02,Medium,In Progress
60,Water Supply,Salty/foul smelling water is being supplied in Chinthamani Colony Road.,Chinthamani,2025-06-18,Medium,In Progress
61,Road Damage,Waterlogged potholes on Melapudur 2nd Street are damaging vehicle tyres.,Melapudur,2025-12-20,Low,In Progress
62,Drainage,Drainage cleaning has not been done in Bharathi Nagar Cross Street for months.,Bharathi Nagar,2026-02-10,Medium,Resolved
63,Street Light,Newly installed street light in Melapudur 2nd Street is not switching on.,Melapudur,2025-06-18,Medium,Resolved
64,Water Supply,Water tanker has not arrived in Ariyamangalam despite booking three days ago.,Ariyamangalam,2025-08-28,Medium,Pending
65,Garbage,Public dustbin at K.K. Nagar junction is broken and waste is scattered on the road.,K.K. Nagar,2025-05-11,Low,In Progress
66,Road Damage,Newly laid road in Ponmalai is already cracking within a few months.,Ponmalai,2026-04-14,High,Resolved
67,Road Damage,Large pothole on Ariyamangalam Lake Road is causing accidents for two-wheelers.,Ariyamangalam,2026-01-31,Low,Pending
68,Drainage,Choked stormwater drain in Ponmalai Colony Road floods during light rain.,Ponmalai,2025-06-03,Medium,Pending
69,Water Supply,"Water supply valve in Ariyamangalam is broken, entire street has no water.",Ariyamangalam,2026-01-24,Medium,Pending
70,Road Damage,Deep crack across the road in Bharathi Nagar is widening every day.,Bharathi Nagar,2025-03-22,High,Resolved
71,Road Damage,Deep crack across the road in Palpannai is widening every day.,Palpannai,2026-03-28,High,Pending
72,Street Light,Street light near Bharathi Nagar Colony Road has not been working for 10 days.,Bharathi Nagar,2025-01-04,High,Pending
73,Garbage,"Dead animal lying near the garbage dump in Edamalaipatti Pudur 3rd Street, needs urgent removal.",Edamalaipatti Pudur,2026-02-15,Low,Pending
74,Drainage,Sewage water has entered houses in Edamalaipatti Pudur Lake Road after the rain.,Edamalaipatti Pudur,2025-01-06,Low,Pending
75,Water Supply,"Irregular water supply timing in Thillai Nagar, water comes only for 10 minutes.",Thillai Nagar,2025-01-13,Medium,In Progress
76,Drainage,Choked stormwater drain in Anna Nagar Colony Road floods during light rain.,Anna Nagar,2025-11-16,Medium,Pending
77,Street Light,Street light near Puthur bus stop flickers constantly at night.,Puthur,2026-06-29,Medium,Pending
78,Garbage,"Dead animal lying near the garbage dump in K.K. Nagar Colony Road, needs urgent removal.",K.K. Nagar,2025-05-23,Low,Resolved
79,Water Supply,"Irregular water supply timing in Edamalaipatti Pudur, water comes only for 10 minutes.",Edamalaipatti Pudur,2026-01-31,High,Resolved
80,Garbage,Uncollected garbage near the market in Cantonment is causing a hygiene issue.,Cantonment,2025-02-09,Low,Resolved
81,Street Light,Newly installed street light in Anna Nagar Colony Road is not switching on.,Anna Nagar,2026-01-22,High,Resolved
82,Drainage,"Drainage cover is missing on Ponmalai 2nd Street, risk of accidents.",Ponmalai,2025-06-28,Medium,Resolved
83,Drainage,Drainage water is overflowing onto the road in Crawford Bypass Road.,Crawford,2026-04-24,High,Pending
84,Water Supply,"Water pressure is extremely low in Puthur, unable to fill overhead tank.",Puthur,2025-06-07,Medium,Resolved
85,Road Damage,Uneven road surface on Srirangam Main Road makes it difficult for vehicles to pass.,Srirangam,2025-05-21,High,Pending
86,Street Light,Multiple street lights along Anna Nagar Cross Street are non-functional after the storm.,Anna Nagar,2025-07-12,High,Resolved
87,Road Damage,Missing manhole cover on Srirangam Main Road is extremely dangerous for commuters.,Srirangam,2025-08-24,Low,Resolved
88,Drainage,Foul smell from the drainage line near Srirangam market is unbearable.,Srirangam,2025-03-28,High,Resolved
89,Drainage,Sewage water has entered houses in Ponmalai Market Street after the rain.,Ponmalai,2025-01-02,High,In Progress
90,Water Supply,"Irregular water supply timing in Gandhi Nagar, water comes only for 10 minutes.",Gandhi Nagar,2025-09-29,Low,Pending
91,Electricity,Transformer near Vayalur Road 3rd Street is making loud noise and sparking.,Vayalur Road,2026-06-23,Low,Resolved
92,Water Supply,No water supply in K.K. Nagar Main Road for the past 2 days.,K.K. Nagar,2026-01-02,Low,Resolved
93,Water Supply,New water connection request in Melapudur is pending for over a month.,Melapudur,2025-06-02,Medium,Resolved
94,Road Damage,"Road repair work in Woraiyur was left incomplete, causing traffic issues.",Woraiyur,2025-03-06,High,Pending
95,Electricity,Overhead electric line is sagging dangerously low on Anna Nagar Market Street.,Anna Nagar,2026-06-20,Medium,Resolved
96,Water Supply,New water connection request in Srirangam is pending for over a month.,Srirangam,2025-12-22,High,In Progress
97,Garbage,Uncollected garbage near the market in Palpannai is causing a hygiene issue.,Palpannai,2025-07-16,Medium,Resolved
98,Garbage,The garbage truck has skipped our street (Thillai Nagar Market Street) for three days in a row.,Thillai Nagar,2026-02-22,Medium,Resolved
99,Garbage,The garbage truck has skipped our street (Bharathi Nagar Bypass Road) for three days in a row.,Bharathi Nagar,2025-10-13,Low,In Progress
100,Water Supply,No water supply in Puthur Colony Road for the past 2 days.,Puthur,2025-06-11,Low,In Progress
101,Garbage,Construction debris dumped illegally on Gandhi Nagar Market Street is blocking the footpath.,Gandhi Nagar,2026-05-04,Low,In Progress
102,Electricity,Low voltage supply in Kattur is damaging household appliances.,Kattur,2025-01-21,High,In Progress
103,Electricity,Transformer near Cantonment Market Street is making loud noise and sparking.,Cantonment,2026-05-14,High,In Progress
104,Road Damage,Waterlogged potholes on Thillai Nagar 2nd Street are damaging vehicle tyres.,Thillai Nagar,2025-08-20,High,Resolved
105,Street Light,Multiple street lights along Thiruverumbur 3rd Street are non-functional after the storm.,Thiruverumbur,2025-06-13,Medium,Resolved
106,Street Light,Newly installed street light in Ariyamangalam Colony Road is not switching on.,Ariyamangalam,2025-11-02,Low,In Progress
107,Garbage,Household waste is being dumped on the roadside in K.K. Nagar instead of the bin.,K.K. Nagar,2025-06-19,Medium,Resolved
108,Road Damage,Broken footpath tiles on Gandhi Nagar Market Street are a tripping hazard for pedestrians.,Gandhi Nagar,2025-12-07,High,In Progress
109,Street Light,Broken street light glass in Srirangam Lake Road is scattered on the footpath.,Srirangam,2025-11-24,Low,In Progress
110,Street Light,Street light near Crawford Market Street has not been working for 10 days.,Crawford,2026-06-22,Medium,Resolved
111,Garbage,Uncollected garbage near the market in Ponmalai is causing a hygiene issue.,Ponmalai,2026-03-17,High,Resolved
112,Electricity,Low voltage supply in Anna Nagar is damaging household appliances.,Anna Nagar,2025-10-03,Medium,Pending
113,Drainage,Drainage cleaning has not been done in Edamalaipatti Pudur Colony Road for months.,Edamalaipatti Pudur,2025-02-16,Low,In Progress
114,Garbage,"Dead animal lying near the garbage dump in Vayalur Road Main Road, needs urgent removal.",Vayalur Road,2025-07-31,Medium,In Progress
115,Road Damage,Deep crack across the road in Palpannai is widening every day.,Palpannai,2025-11-29,Medium,Pending
116,Water Supply,"Water supply valve in Golden Rock is broken, entire street has no water.",Golden Rock,2025-09-15,Low,Pending
117,Water Supply,"Water pressure is extremely low in Crawford, unable to fill overhead tank.",Crawford,2025-03-04,Medium,In Progress
118,Drainage,"Drainage cover is missing on Srirangam Bypass Road, risk of accidents.",Srirangam,2026-03-24,Medium,Resolved
119,Electricity,Electric pole near Anna Nagar is leaning dangerously and needs urgent repair.,Anna Nagar,2025-01-21,Medium,In Progress
120,Electricity,Transformer near Srirangam Bypass Road is making loud noise and sparking.,Srirangam,2025-03-16,Medium,Resolved
121,Water Supply,Pipeline leakage near Thiruverumbur Market Street is wasting a large amount of water daily.,Thiruverumbur,2025-03-24,Medium,Resolved
122,Street Light,Street light timer in Ponmalai is faulty; lights stay on during the day.,Ponmalai,2025-03-16,High,Pending
123,Road Damage,Uneven road surface on Edamalaipatti Pudur Cross Street makes it difficult for vehicles to pass.,Edamalaipatti Pudur,2025-08-23,Medium,Pending
124,Street Light,Street light near Palpannai 2nd Street has not been working for 10 days.,Palpannai,2026-03-14,High,In Progress
125,Water Supply,New water connection request in Gandhi Nagar is pending for over a month.,Gandhi Nagar,2025-12-08,Low,Pending
126,Street Light,Street light near Edamalaipatti Pudur bus stop flickers constantly at night.,Edamalaipatti Pudur,2025-07-26,High,In Progress
127,Water Supply,Contaminated/muddy water is coming from the tap in Edamalaipatti Pudur Main Road.,Edamalaipatti Pudur,2025-05-10,High,Resolved
128,Water Supply,No water supply since the pipeline repair work started in Melapudur 2nd Street.,Melapudur,2025-06-24,Low,Pending
129,Road Damage,Broken footpath tiles on Crawford Cross Street are a tripping hazard for pedestrians.,Crawford,2026-03-26,Low,Pending
130,Water Supply,Salty/foul smelling water is being supplied in Vayalur Road 2nd Street.,Vayalur Road,2026-03-01,High,Pending
131,Electricity,Low voltage supply in Golden Rock is damaging household appliances.,Golden Rock,2026-04-21,High,In Progress
132,Electricity,Street junction box in Thillai Nagar is open with live wires exposed.,Thillai Nagar,2026-03-22,High,Pending
133,Drainage,Foul smell from the drainage line near Vayalur Road market is unbearable.,Vayalur Road,2025-08-09,High,Pending
134,Electricity,Transformer near Bharathi Nagar Colony Road is making loud noise and sparking.,Bharathi Nagar,2025-10-29,Low,Pending
135,Garbage,Uncollected garbage near the market in Kattur is causing a hygiene issue.,Kattur,2025-07-16,High,Pending
136,Drainage,Drainage cleaning has not been done in Palpannai Main Road for months.,Palpannai,2026-06-12,High,Pending
137,Drainage,Foul smell from the drainage line near Puthur market is unbearable.,Puthur,2025-11-27,High,In Progress
138,Garbage,Construction debris dumped illegally on Thiruverumbur 3rd Street is blocking the footpath.,Thiruverumbur,2026-05-27,Medium,Resolved
139,Drainage,"Drainage cover is missing on Thillai Nagar Colony Road, risk of accidents.",Thillai Nagar,2025-07-21,High,Resolved
140,Garbage,Overflowing garbage bin near Crawford Market Street is attracting stray dogs and flies.,Crawford,2025-06-08,Low,Pending
141,Water Supply,No water supply in Anna Nagar Colony Road for the past 2 days.,Anna Nagar,2026-05-20,Low,Pending
142,Garbage,Public dustbin at Gandhi Nagar junction is broken and waste is scattered on the road.,Gandhi Nagar,2025-08-31,Low,In Progress
143,Garbage,Plastic waste is piling up near the Ponmalai 3rd Street community bin.,Ponmalai,2025-08-17,Low,Resolved
144,Road Damage,"Road repair work in K.K. Nagar was left incomplete, causing traffic issues.",K.K. Nagar,2026-03-30,Low,Pending
145,Street Light,"No streetlight coverage on Edamalaipatti Pudur Lake Road, unsafe for women at night.",Edamalaipatti Pudur,2025-06-02,High,Resolved
146,Garbage,Uncollected garbage near the market in Palpannai is causing a hygiene issue.,Palpannai,2025-11-29,Low,Pending
147,Garbage,No garbage collection has happened in Puthur since last Monday.,Puthur,2025-04-11,Low,In Progress
148,Garbage,Uncollected garbage near the market in Bharathi Nagar is causing a hygiene issue.,Bharathi Nagar,2025-08-14,Medium,Pending
149,Street Light,Street light timer in Kattur is faulty; lights stay on during the day.,Kattur,2025-09-12,Low,In Progress
150,Drainage,Open drain near Puthur school is a safety hazard for children.,Puthur,2026-04-05,Low,Resolved
151,Street Light,Entire stretch of Chinthamani Lake Road is dark at night due to non-functional lights.,Chinthamani,2026-06-25,High,In Progress
152,Garbage,Public dustbin at Woraiyur junction is broken and waste is scattered on the road.,Woraiyur,2025-08-14,Medium,Resolved
153,Garbage,Construction debris dumped illegally on Kattur Cross Street is blocking the footpath.,Kattur,2025-06-17,Medium,Pending
154,Garbage,Overflowing garbage bin near Bharathi Nagar 3rd Street is attracting stray dogs and flies.,Bharathi Nagar,2025-09-18,Low,Resolved
155,Water Supply,No water supply in Kattur Cross Street for the past 2 days.,Kattur,2025-08-01,High,Pending
156,Drainage,Broken underground drainage pipe in Woraiyur is leaking onto the street.,Woraiyur,2026-03-06,Medium,In Progress
157,Electricity,Repeated tripping of power supply in Anna Nagar disrupts daily work.,Anna Nagar,2025-12-02,Low,Pending
158,Electricity,Frequent power cuts in Anna Nagar Main Road for the past week without prior notice.,Anna Nagar,2025-09-08,Low,In Progress
159,Electricity,Overhead electric line is sagging dangerously low on Edamalaipatti Pudur Main Road.,Edamalaipatti Pudur,2025-03-31,Medium,In Progress
160,Electricity,Overhead electric line is sagging dangerously low on Thiruverumbur Colony Road.,Thiruverumbur,2026-06-17,Medium,Pending
161,Electricity,Electric pole near Puthur is leaning dangerously and needs urgent repair.,Puthur,2025-11-15,Medium,Pending
162,Garbage,Construction debris dumped illegally on Vayalur Road 3rd Street is blocking the footpath.,Vayalur Road,2025-07-25,High,In Progress
163,Road Damage,Newly laid road in Kattur is already cracking within a few months.,Kattur,2025-04-22,Low,Resolved
164,Road Damage,Waterlogged potholes on Gandhi Nagar Main Road are damaging vehicle tyres.,Gandhi Nagar,2025-12-18,Low,In Progress
165,Water Supply,Salty/foul smelling water is being supplied in K.K. Nagar Colony Road.,K.K. Nagar,2025-02-16,Low,Resolved
166,Street Light,Entire stretch of Cantonment 2nd Street is dark at night due to non-functional lights.,Cantonment,2026-05-04,Medium,Pending
167,Garbage,"Garbage has not been collected in Ariyamangalam Cross Street for over a week, causing bad smell.",Ariyamangalam,2025-02-02,Medium,Pending
168,Garbage,Household waste is being dumped on the roadside in Puthur instead of the bin.,Puthur,2026-03-30,High,Resolved
169,Garbage,No garbage collection has happened in Gandhi Nagar since last Monday.,Gandhi Nagar,2026-01-08,Medium,Pending
170,Water Supply,Pipeline leakage near Chinthamani Colony Road is wasting a large amount of water daily.,Chinthamani,2026-03-02,Medium,In Progress
171,Road Damage,"Speed breaker on Bharathi Nagar Lake Road is broken and unmarked, risky at night.",Bharathi Nagar,2025-02-27,High,Pending
172,Street Light,Entire stretch of Anna Nagar Market Street is dark at night due to non-functional lights.,Anna Nagar,2025-01-17,Low,Pending
173,Drainage,Foul smell from the drainage line near Vayalur Road market is unbearable.,Vayalur Road,2025-05-13,Medium,Resolved
174,Drainage,Broken underground drainage pipe in Chinthamani is leaking onto the street.,Chinthamani,2026-02-04,Medium,Pending
175,Street Light,Street light near Ariyamangalam Main Road has not been working for 10 days.,Ariyamangalam,2026-02-16,Medium,Pending
176,Drainage,Drainage cleaning has not been done in Golden Rock 3rd Street for months.,Golden Rock,2026-03-03,High,Resolved
177,Electricity,Low voltage supply in Bharathi Nagar is damaging household appliances.,Bharathi Nagar,2025-03-28,High,Resolved
178,Drainage,Broken underground drainage pipe in Crawford is leaking onto the street.,Crawford,2025-07-06,Low,In Progress
179,Street Light,Street light timer in Vayalur Road is faulty; lights stay on during the day.,Vayalur Road,2025-11-04,Medium,Pending
180,Road Damage,Uneven road surface on Ponmalai 3rd Street makes it difficult for vehicles to pass.,Ponmalai,2025-09-16,High,Pending
181,Drainage,Foul smell from the drainage line near Chinthamani market is unbearable.,Chinthamani,2026-03-24,Low,Pending
182,Drainage,Open drain near Melapudur school is a safety hazard for children.,Melapudur,2025-07-11,High,Resolved
183,Water Supply,Salty/foul smelling water is being supplied in Woraiyur Market Street.,Woraiyur,2026-04-08,Low,In Progress
184,Drainage,Broken underground drainage pipe in Thiruverumbur is leaking onto the street.,Thiruverumbur,2026-02-25,Medium,Resolved
185,Garbage,Plastic waste is piling up near the Kattur Bypass Road community bin.,Kattur,2025-05-08,High,In Progress
186,Street Light,"Street light pole in Puthur is damaged and sparking, safety concern.",Puthur,2026-03-02,High,Resolved
187,Road Damage,Deep crack across the road in Kattur is widening every day.,Kattur,2025-12-01,Low,Resolved
188,Electricity,Frequent power cuts in Kattur 3rd Street for the past week without prior notice.,Kattur,2025-10-30,Medium,In Progress
189,Electricity,"Electricity meter in Crawford Bypass Road is malfunctioning, incorrect readings.",Crawford,2026-02-02,Medium,Pending
190,Street Light,Broken street light glass in Cantonment Colony Road is scattered on the footpath.,Cantonment,2025-02-08,Low,In Progress
191,Road Damage,Road near Chinthamani junction has completely eroded after recent rains.,Chinthamani,2025-06-09,High,In Progress
192,Garbage,Construction debris dumped illegally on Woraiyur Lake Road is blocking the footpath.,Woraiyur,2025-09-20,Medium,Pending
193,Garbage,Uncollected garbage near the market in Vayalur Road is causing a hygiene issue.,Vayalur Road,2025-01-30,Medium,In Progress
194,Drainage,Drainage water is overflowing onto the road in Vayalur Road Main Road.,Vayalur Road,2026-04-16,Low,In Progress
195,Street Light,Newly installed street light in Woraiyur Colony Road is not switching on.,Woraiyur,2025-12-29,Medium,In Progress
196,Drainage,Broken underground drainage pipe in Crawford is leaking onto the street.,Crawford,2026-01-31,Low,In Progress
197,Electricity,Power has not been restored in Ponmalai since yesterday's outage.,Ponmalai,2025-10-15,Medium,Resolved
198,Drainage,Foul smell from the drainage line near Thillai Nagar market is unbearable.,Thillai Nagar,2025-03-29,Low,In Progress
199,Electricity,Transformer near Vayalur Road Lake Road is making loud noise and sparking.,Vayalur Road,2026-01-23,Medium,Resolved
200,Electricity,Power has not been restored in Thillai Nagar since yesterday's outage.,Thillai Nagar,2026-02-02,High,In Progress
201,Electricity,Electric pole near Thillai Nagar is leaning dangerously and needs urgent repair.,Thillai Nagar,2025-06-24,Medium,Pending
202,Electricity,Electric pole near Vayalur Road is leaning dangerously and needs urgent repair.,Vayalur Road,2025-06-01,High,In Progress
203,Garbage,No garbage collection has happened in Palpannai since last Monday.,Palpannai,2025-06-08,Low,In Progress
204,Road Damage,Broken footpath tiles on Ariyamangalam Cross Street are a tripping hazard for pedestrians.,Ariyamangalam,2025-03-26,Medium,Pending
205,Electricity,Electric pole near Thillai Nagar is leaning dangerously and needs urgent repair.,Thillai Nagar,2025-11-08,High,Resolved
206,Road Damage,Missing manhole cover on Bharathi Nagar Market Street is extremely dangerous for commuters.,Bharathi Nagar,2025-04-27,Medium,In Progress
207,Electricity,Overhead electric line is sagging dangerously low on Gandhi Nagar Market Street.,Gandhi Nagar,2026-01-03,Medium,Resolved
208,Road Damage,"Speed breaker on Woraiyur 2nd Street is broken and unmarked, risky at night.",Woraiyur,2025-11-06,Low,In Progress
209,Drainage,Drainage water is overflowing onto the road in Kattur 2nd Street.,Kattur,2026-04-06,Medium,In Progress
210,Drainage,Foul smell from the drainage line near Crawford market is unbearable.,Crawford,2026-03-01,Low,In Progress
211,Electricity,Exposed electrical wires near Thillai Nagar Colony Road are a serious safety hazard.,Thillai Nagar,2025-01-29,Medium,Pending
212,Water Supply,New water connection request in Woraiyur is pending for over a month.,Woraiyur,2025-04-28,High,Pending
213,Garbage,Household waste is being dumped on the roadside in Palpannai instead of the bin.,Palpannai,2025-06-17,Medium,In Progress
214,Water Supply,No water supply since the pipeline repair work started in Cantonment 3rd Street.,Cantonment,2025-05-16,High,In Progress
215,Street Light,Street light near Woraiyur park has been off since last month.,Woraiyur,2025-05-24,High,In Progress
216,Drainage,Drainage cleaning has not been done in K.K. Nagar Bypass Road for months.,K.K. Nagar,2025-11-14,High,Resolved
217,Drainage,"Drainage cover is missing on K.K. Nagar Colony Road, risk of accidents.",K.K. Nagar,2026-07-01,Low,Resolved
218,Garbage,Public dustbin at Ariyamangalam junction is broken and waste is scattered on the road.,Ariyamangalam,2026-05-13,Low,Resolved
219,Electricity,Low voltage supply in Ariyamangalam is damaging household appliances.,Ariyamangalam,2026-07-01,High,Pending
220,Street Light,"No streetlight coverage on Ponmalai Market Street, unsafe for women at night.",Ponmalai,2026-04-23,High,Resolved
221,Street Light,"No streetlight coverage on Kattur 3rd Street, unsafe for women at night.",Kattur,2025-08-13,Low,In Progress
222,Drainage,Drainage cleaning has not been done in Bharathi Nagar 2nd Street for months.,Bharathi Nagar,2025-06-16,Low,Resolved
223,Water Supply,New water connection request in Golden Rock is pending for over a month.,Golden Rock,2025-09-09,Low,In Progress
224,Electricity,Low voltage supply in Melapudur is damaging household appliances.,Melapudur,2026-01-03,High,Pending
225,Garbage,The garbage truck has skipped our street (Ariyamangalam Cross Street) for three days in a row.,Ariyamangalam,2025-12-13,Low,Resolved
226,Water Supply,"Irregular water supply timing in Thiruverumbur, water comes only for 10 minutes.",Thiruverumbur,2025-06-14,Medium,In Progress
227,Electricity,"Electricity meter in Woraiyur 3rd Street is malfunctioning, incorrect readings.",Woraiyur,2025-06-04,Low,In Progress
228,Road Damage,Uneven road surface on Vayalur Road Colony Road makes it difficult for vehicles to pass.,Vayalur Road,2026-03-08,Medium,In Progress
229,Electricity,Repeated tripping of power supply in Ponmalai disrupts daily work.,Ponmalai,2026-04-21,Medium,Resolved
230,Garbage,Plastic waste is piling up near the Woraiyur Colony Road community bin.,Woraiyur,2025-03-15,High,Resolved
231,Street Light,Street light near Kattur Lake Road has not been working for 10 days.,Kattur,2026-05-15,Low,Pending
232,Electricity,Transformer near Puthur Main Road is making loud noise and sparking.,Puthur,2025-09-27,Medium,In Progress
233,Drainage,Sewage water has entered houses in Ariyamangalam Cross Street after the rain.,Ariyamangalam,2025-05-30,Medium,Pending
234,Garbage,Household waste is being dumped on the roadside in Gandhi Nagar instead of the bin.,Gandhi Nagar,2026-03-12,Low,Pending
235,Drainage,Stagnant drainage water in Ariyamangalam has been standing for over a week.,Ariyamangalam,2025-12-07,Low,Pending
