complaint_id,category,complaint_text,area,date_reported,priority,status,clean_text,tokens
56,Road Damage,Uneven road surface on Bharathi Nagar Bypass Road makes it difficult for vehicles to pass.,Bharathi Nagar,2025-10-26,High,Resolved,uneven road surface bharathi nagar bypass road makes difficult vehicles pass,"['uneven', 'road', 'surface', 'bharathi', 'nagar', 'bypass', 'road', 'makes', 'difficult', 'vehicles', 'pass']"
57,Drainage,Foul smell from the drainage line near Cantonment market is unbearable.,Cantonment,2025-03-06,High,In Progress,foul smell drainage line near cantonment market unbearable,"['foul', 'smell', 'drainage', 'line', 'near', 'cantonment', 'market', 'unbearable']"
58,Road Damage,Road near Gandhi Nagar junction has completely eroded after recent rains.,Gandhi Nagar,2026-04-01,Medium,In Progress,road near gandhi nagar junction completely eroded recent rains,"['road', 'near', 'gandhi', 'nagar', 'junction', 'completely', 'eroded', 'recent', 'rains']"
59,Road Damage,Newly laid road in Palpannai is already cracking within a few months.,Palpannai,2026-04-02,Medium,In Progress,newly laid road palpannai already cracking within months,"['newly', 'laid', 'road', 'palpannai', 'already', 'cracking', 'within', 'months']"
60,Water Supply,Salty/foul smelling water is being supplied in Chinthamani Colony Road.,Chinthamani,2025-06-18,Medium,In Progress,saltyfoul smelling water supplied chinthamani colony road,"['saltyfoul', 'smelling', 'water', 'supplied', 'chinthamani', 'colony', 'road']"
61,Road Damage,Waterlogged potholes on Melapudur 2nd Street are damaging vehicle tyres.,Melapudur,2025-12-20,Low,In Progress,waterlogged potholes melapudur nd street damaging vehicle tyres,"['waterlogged', 'potholes', 'melapudur', 'nd', 'street', 'damaging', 'vehicle', 'tyres']"
62,Drainage,Drainage cleaning has not been done in Bharathi Nagar Cross Street for months.,Bharathi Nagar,2026-02-10,Medium,Resolved,drainage cleaning done bharathi nagar cross street months,"['drainage', 'cleaning', 'done', 'bharathi', 'nagar', 'cross', 'street', 'months']"
63,Street Light,Newly installed street light in Melapudur 2nd Street is not switching on.,Melapudur,2025-06-18,Medium,Resolved,newly installed street light melapudur nd street switching,"['newly', 'installed', 'street', 'light', 'melapudur', 'nd', 'street', 'switching']"
64,Water Supply,Water tanker has not arrived in Ariyamangalam despite booking three days ago.,Ariyamangalam,2025-08-28,Medium,Pending,water tanker arrived ariyamangalam despite booking three days ago,"['water', 'tanker', 'arrived', 'ariyamangalam', 'despite', 'booking', 'three', 'days', 'ago']"
65,Garbage,Public dustbin at K.K. Nagar junction is broken and waste is scattered on the road.,K.K. Nagar,2025-05-11,Low,In Progress,public dustbin kk nagar junction broken waste scattered road,"['public', 'dustbin', 'kk', 'nagar', 'junction', 'broken', 'waste', 'scattered', 'road']"
66,Road Damage,Newly laid road in Ponmalai is already cracking within a few months.,Ponmalai,2026-04-14,High,Resolved,newly laid road ponmalai already cracking within months,"['newly', 'laid', 'road', 'ponmalai', 'already', 'cracking', 'within', 'months']"
67,Road Damage,Large pothole on Ariyamangalam Lake Road is causing accidents for two-wheelers.,Ariyamangalam,2026-01-31,Low,Pending,large pothole ariyamangalam lake road causing accidents twowheelers,"['large', 'pothole', 'ariyamangalam', 'lake', 'road', 'causing', 'accidents', 'twowheelers']"
68,Drainage,Choked stormwater drain in Ponmalai Colony Road floods during light rain.,Ponmalai,2025-06-03,Medium,Pending,choked stormwater drain ponmalai colony road floods light rain,"['choked', 'stormwater', 'drain', 'ponmalai', 'colony', 'road', 'floods', 'light', 'rain']"
69,Water Supply,"Water supply valve in Ariyamangalam is broken, entire street has no water.",Ariyamangalam,2026-01-24,Medium,Pending,water supply valve ariyamangalam broken entire street water,"['water', 'supply', 'valve', 'ariyamangalam', 'broken', 'entire', 'street', 'water']"
70,Road Damage,Deep crack across the road in Bharathi Nagar is widening every day.,Bharathi Nagar,2025-03-22,High,Resolved,deep crack across road bharathi nagar widening every day,"['deep', 'crack', 'across', 'road', 'bharathi', 'nagar', 'widening', 'every', 'day']"
71,Road Damage,Deep crack across the road in Palpannai is widening every day.,Palpannai,2026-03-28,High,Pending,deep crack across road palpannai widening every day,"['deep', 'crack', 'across', 'road', 'palpannai', 'widening', 'every', 'day']"
72,Street Light,Street light near Bharathi Nagar Colony Road has not been working for 10 days.,Bharathi Nagar,2025-01-04,High,Pending,street light near bharathi nagar colony road working days,"['street', 'light', 'near', 'bharathi', 'nagar', 'colony', 'road', 'working', 'days']"
73,Garbage,"Dead animal lying near the garbage dump in Edamalaipatti Pudur 3rd Street, needs urgent removal.",Edamalaipatti Pudur,2026-02-15,Low,Pending,dead animal lying near garbage dump edamalaipatti pudur rd street needs urgent removal,"['dead', 'animal', 'lying', 'near', 'garbage', 'dump', 'edamalaipatti', 'pudur', 'rd', 'street', 'needs', 'urgent', 'removal']"
74,Drainage,Sewage water has entered houses in Edamalaipatti Pudur Lake Road after the rain.,Edamalaipatti Pudur,2025-01-06,Low,Pending,sewage water entered houses edamalaipatti pudur lake road rain,"['sewage', 'water', 'entered', 'houses', 'edamalaipatti', 'pudur', 'lake', 'road', 'rain']"
75,Water Supply,"Irregular water supply timing in Thillai Nagar, water comes only for 10 minutes.",Thillai Nagar,2025-01-13,Medium,In Progress,irregular water supply timing thillai nagar water comes minutes,"['irregular', 'water', 'supply', 'timing', 'thillai', 'nagar', 'water', 'comes', 'minutes']"
76,Drainage,Choked stormwater drain in Anna Nagar Colony Road floods during light rain.,Anna Nagar,2025-11-16,Medium,Pending,choked stormwater drain anna nagar colony road floods light rain,"['choked', 'stormwater', 'drain', 'anna', 'nagar', 'colony', 'road', 'floods', 'light', 'rain']"
77,Street Light,Street light near Puthur bus stop flickers constantly at night.,Puthur,2026-06-29,Medium,Pending,street light near puthur bus stop flickers constantly night,"['street', 'light', 'near', 'puthur', 'bus', 'stop', 'flickers', 'constantly', 'night']"
78,Garbage,"Dead animal lying near the garbage dump in K.K. Nagar Colony Road, needs urgent removal.",K.K. Nagar,2025-05-23,Low,Resolved,dead animal lying near garbage dump kk nagar colony road needs urgent removal,"['dead', 'animal', 'lying', 'near', 'garbage', 'dump', 'kk', 'nagar', 'colony', 'road', 'needs', 'urgent', 'removal']"
79,Water Supply,"Irregular water supply timing in Edamalaipatti Pudur, water comes only for 10 minutes.",Edamalaipatti Pudur,2026-01-31,High,Resolved,irregular water supply timing edamalaipatti pudur water comes minutes,"['irregular', 'water', 'supply', 'timing', 'edamalaipatti', 'pudur', 'water', 'comes', 'minutes']"
80,Garbage,Uncollected garbage near the market in Cantonment is causing a hygiene issue.,Cantonment,2025-02-09,Low,Resolved,uncollected garbage near market cantonment causing hygiene issue,"['uncollected', 'garbage', 'near', 'market', 'cantonment', 'causing', 'hygiene', 'issue']"
81,Street Light,Newly installed street light in Anna Nagar Colony Road is not switching on.,Anna Nagar,2026-01-22,High,Resolved,newly installed street light anna nagar colony road switching,"['newly', 'installed', 'street', 'light', 'anna', 'nagar', 'colony', 'road', 'switching']"
82,Drainage,"Drainage cover is missing on Ponmalai 2nd Street, risk of accidents.",Ponmalai,2025-06-28,Medium,Resolved,drainage cover missing ponmalai nd street risk accidents,"['drainage', 'cover', 'missing', 'ponmalai', 'nd', 'street', 'risk', 'accidents']"
83,Drainage,Drainage water is overflowing onto the road in Crawford Bypass Road.,Crawford,2026-04-24,High,Pending,drainage water overflowing onto road crawford bypass road,"['drainage', 'water', 'overflowing', 'onto', 'road', 'crawford', 'bypass', 'road']"
84,Water Supply,"Water pressure is extremely low in Puthur, unable to fill overhead tank.",Puthur,2025-06-07,Medium,Resolved,water pressure extremely low puthur unable fill overhead tank,"['water', 'pressure', 'extremely', 'low', 'puthur', 'unable', 'fill', 'overhead', 'tank']"
85,Road Damage,Uneven road surface on Srirangam Main Road makes it difficult for vehicles to pass.,Srirangam,2025-05-21,High,Pending,uneven road surface srirangam main road makes difficult vehicles pass,"['uneven', 'road', 'surface', 'srirangam', 'main', 'road', 'makes', 'difficult', 'vehicles', 'pass']"
86,Street Light,Multiple street lights along Anna Nagar Cross Street are non-functional after the storm.,Anna Nagar,2025-07-12,High,Resolved,multiple street lights along anna nagar cross street nonfunctional storm,"['multiple', 'street', 'lights', 'along', 'anna', 'nagar', 'cross', 'street', 'nonfunctional', 'storm']"
87,Road Damage,Missing manhole cover on Srirangam Main Road is extremely dangerous for commuters.,Srirangam,2025-08-24,Low,Resolved,missing manhole cover srirangam main road extremely dangerous commuters,"['missing', 'manhole', 'cover', 'srirangam', 'main', 'road', 'extremely', 'dangerous', 'commuters']"
88,Drainage,Foul smell from the drainage line near Srirangam market is unbearable.,Srirangam,2025-03-28,High,Resolved,foul smell drainage line near srirangam market unbearable,"['foul', 'smell', 'drainage', 'line', 'near', 'srirangam', 'market', 'unbearable']"
89,Drainage,Sewage water has entered houses in Ponmalai Market Street after the rain.,Ponmalai,2025-01-02,High,In Progress,sewage water entered houses ponmalai market street rain,"['sewage', 'water', 'entered', 'houses', 'ponmalai', 'market', 'street', 'rain']"
90,Water Supply,"Irregular water supply timing in Gandhi Nagar, water comes only for 10 minutes.",Gandhi Nagar,2025-09-29,Low,Pending,irregular water supply timing gandhi nagar water comes minutes,"['irregular', 'water', 'supply', 'timing', 'gandhi', 'nagar', 'water', 'comes', 'minutes']"
91,Electricity,Transformer near Vayalur Road 3rd Street is making loud noise and sparking.,Vayalur Road,2026-06-23,Low,Resolved,transformer near vayalur road rd street making loud noise sparking,"['transformer', 'near', 'vayalur', 'road', 'rd', 'street', 'making', 'loud', 'noise', 'sparking']"
92,Water Supply,No water supply in K.K. Nagar Main Road for the past 2 days.,K.K. Nagar,2026-01-02,Low,Resolved,water supply kk nagar main road past days,"['water', 'supply', 'kk', 'nagar', 'main', 'road', 'past', 'days']"
94,Road Damage,"Road repair work in Woraiyur was left incomplete, causing traffic issues.",Woraiyur,2025-03-06,High,Pending,road repair work woraiyur left incomplete causing traffic issues,"['road', 'repair', 'work', 'woraiyur', 'left', 'incomplete', 'causing', 'traffic', 'issues']"
95,Electricity,Overhead electric line is sagging dangerously low on Anna Nagar Market Street.,Anna Nagar,2026-06-20,Medium,Resolved,overhead electric line sagging dangerously low anna nagar market street,"['overhead', 'electric', 'line', 'sagging', 'dangerously', 'low', 'anna', 'nagar', 'market', 'street']"
96,Water Supply,New water connection request in Srirangam is pending for over a month.,Srirangam,2025-12-22,High,In Progress,new water connection request srirangam pending month,"['new', 'water', 'connection', 'request', 'srirangam', 'pending', 'month']"
97,Garbage,Uncollected garbage near the market in Palpannai is causing a hygiene issue.,Palpannai,2025-07-16,Medium,Resolved,uncollected garbage near market palpannai causing hygiene issue,"['uncollected', 'garbage', 'near', 'market', 'palpannai', 'causing', 'hygiene', 'issue']"
98,Garbage,The garbage truck has skipped our street (Thillai Nagar Market Street) for three days in a row.,Thillai Nagar,2026-02-22,Medium,Resolved,garbage truck skipped street thillai nagar market street three days row,"['garbage', 'truck', 'skipped', 'street', 'thillai', 'nagar', 'market', 'street', 'three', 'days', 'row']"
99,Garbage,The garbage truck has skipped our street (Bharathi Nagar Bypass Road) for three days in a row.,Bharathi Nagar,2025-10-13,Low,In Progress,garbage truck skipped street bharathi nagar bypass road three days row,"['garbage', 'truck', 'skipped', 'street', 'bharathi', 'nagar', 'bypass', 'road', 'three', 'days', 'row']"
100,Water Supply,No water supply in Puthur Colony Road for the past 2 days.,Puthur,2025-06-11,Low,In Progress,water supply puthur colony road past days,"['water', 'supply', 'puthur', 'colony', 'road', 'past', 'days']"
101,Garbage,Construction debris dumped illegally on Gandhi Nagar Market Street is blocking the footpath.,Gandhi Nagar,2026-05-04,Low,In Progress,construction debris dumped illegally gandhi nagar market street blocking footpath,"['construction', 'debris', 'dumped', 'illegally', 'gandhi', 'nagar', 'market', 'street', 'blocking', 'footpath']"
102,Electricity,Low voltage supply in Kattur is damaging household appliances.,Kattur,2025-01-21,High,In Progress,low voltage supply kattur damaging household appliances,"['low', 'voltage', 'supply', 'kattur', 'damaging', 'household', 'appliances']"
103,Electricity,Transformer near Cantonment Market Street is making loud noise and sparking.,Cantonment,2026-05-14,High,In Progress,transformer near cantonment market street making loud noise sparking,"['transformer', 'near', 'cantonment', 'market', 'street', 'making', 'loud', 'noise', 'sparking']"
104,Road Damage,Waterlogged potholes on Thillai Nagar 2nd Street are damaging vehicle tyres.,Thillai Nagar,2025-08-20,High,Resolved,waterlogged potholes thillai nagar nd street damaging vehicle tyres,"['waterlogged', 'potholes', 'thillai', 'nagar', 'nd', 'street', 'damaging', 'vehicle', 'tyres']"
105,Street Light,Multiple street lights along Thiruverumbur 3rd Street are non-functional after the storm.,Thiruverumbur,2025-06-13,Medium,Resolved,multiple street lights along thiruverumbur rd street nonfunctional storm,"['multiple', 'street', 'lights', 'along', 'thiruverumbur', 'rd', 'street', 'nonfunctional', 'storm']"
106,Street Light,Newly installed street light in Ariyamangalam Colony Road is not switching on.,Ariyamangalam,2025-11-02,Low,In Progress,newly installed street light ariyamangalam colony road switching,"['newly', 'installed', 'street', 'light', 'ariyamangalam', 'colony', 'road', 'switching']"
107,Garbage,Household waste is being dumped on the roadside in K.K. Nagar instead of the bin.,K.K. Nagar,2025-06-19,Medium,Resolved,household waste dumped roadside kk nagar instead bin,"['household', 'waste', 'dumped', 'roadside', 'kk', 'nagar', 'instead', 'bin']"
108,Road Damage,Broken footpath tiles on Gandhi Nagar Market Street are a tripping hazard for pedestrians.,Gandhi Nagar,2025-12-07,High,In Progress,broken footpath tiles gandhi nagar market street tripping hazard pedestrians,"['broken', 'footpath', 'tiles', 'gandhi', 'nagar', 'market', 'street', 'tripping', 'hazard', 'pedestrians']"
109,Street Light,Broken street light glass in Srirangam Lake Road is scattered on the footpath.,Srirangam,2025-11-24,Low,In Progress,broken street light glass srirangam lake road scattered footpath,"['broken', 'street', 'light', 'glass', 'srirangam', 'lake', 'road', 'scattered', 'footpath']"
